word	nodeType	synsetCount	unit
sixth	ADJ	4	vol-10
whole	ADJ	8	vol-10
small	ADJ	13	vol-10
bottom	ADJ	12	vol-10
upper	ADJ	6	vol-10
other	ADJ	4	vol-10
cute	ADJ	2	vol-10
main	ADJ	5	vol-10
short	ADJ	23	vol-10
same	ADJ	6	vol-10
cut	ADJ	70	vol-10
funny	ADJ	5	vol-10
full	ADJ	13	vol-10
chinese	ADJ	4	vol-10
fine	ADJ	10	vol-10
o:[decorative	ADJ	0	vol-10
real	ADJ	13	vol-10
deep	ADJ	21	vol-10
decorative	ADJ	1	vol-10
pointless	ADJ	2	vol-10
more	ADJ	5	vol-10
legendary	ADJ	2	vol-10
first	ADJ	16	vol-10
favorite	ADJ	5	vol-10
little	ADJ	10	vol-10
sudden	ADJ	1	vol-10
careful	ADJ	5	vol-10
final	ADJ	5	vol-10
right	ADJ	36	vol-10
tall	ADJ	5	vol-10
certain	ADJ	7	vol-10
unyielding	ADJ	2	vol-10
right	ADJ	36	vol-10
new	ADJ	12	vol-10
good	ADJ	27	vol-10
right	ADJ	36	vol-10
good	ADJ	27	vol-10
glad	ADJ	5	vol-10
crazy	ADJ	6	vol-10
crazy	ADJ	6	vol-10
old	ADJ	9	vol-10
big	ADJ	17	vol-10
strong	ADJ	10	vol-10
straight	ADJ	21	vol-10
wonderful	ADJ	1	vol-10
gigantic	ADJ	1	vol-10
nice	ADJ	6	vol-10
little	ADJ	10	vol-10
terrible	ADJ	4	vol-10
dreadful	ADJ	3	vol-10
many	ADJ	1	vol-10
great	ADJ	7	vol-10
many	ADJ	1	vol-10
ridiculous	ADJ	3	vol-10
frequent	ADJ	4	vol-11
entire	ADJ	5	vol-11
key	ADJ	21	vol-4
old	ADJ	9	vol-4
old	ADJ	9	vol-4
old	ADJ	9	vol-4
old	ADJ	9	vol-4
old	ADJ	9	vol-4
weird	ADJ	3	vol-4
weird	ADJ	3	vol-4
mysterious	ADJ	2	vol-4
cool	ADJ	11	vol-4
other	ADJ	4	vol-4
last	ADJ	21	vol-4
correct	ADJ	12	vol-4
cruel	ADJ	1	vol-4
real	ADJ	13	vol-4
real	ADJ	13	vol-4
long	ADJ	12	vol-4
same	ADJ	6	vol-4
actual	ADJ	5	vol-4
nervous	ADJ	5	vol-4
stupid	ADJ	4	vol-4
weird	ADJ	3	vol-4
normal	ADJ	5	vol-4
new	ADJ	12	vol-4
special	ADJ	10	vol-4
big	ADJ	17	vol-4
interesting	ADJ	4	vol-4
dead	ADJ	21	vol-4
high	ADJ	18	vol-4
high	ADJ	18	vol-4
Most	ADJ	5	vol-4
good	ADJ	27	vol-4
real	ADJ	13	vol-4
axe	ADJ	3	vol-4
good	ADJ	27	vol-4
alive	ADJ	7	vol-4
former	ADJ	5	vol-4
same	ADJ	6	vol-4
painful	ADJ	4	vol-4
secondary	ADJ	7	vol-4
normal	ADJ	5	vol-4
little	ADJ	10	vol-4
hilarious	ADJ	1	vol-4
mysterious	ADJ	2	vol-4
normal	ADJ	5	vol-4
other	ADJ	4	vol-4
honest	ADJ	7	vol-4
great	ADJ	7	vol-4
expensive	ADJ	1	vol-4
much	ADJ	7	vol-4
expensive	ADJ	1	vol-4
next	ADJ	4	vol-4
patient	ADJ	3	vol-4
young	ADJ	14	vol-4
old	ADJ	9	vol-4
disrespectful	ADJ	2	vol-4
proud	ADJ	2	vol-4
good	ADJ	27	vol-4
cold	ADJ	16	vol-4
simple	ADJ	9	vol-4
same	ADJ	6	vol-4
many	ADJ	1	vol-4
sharp	ADJ	15	vol-4
many	ADJ	1	vol-4
many	ADJ	1	vol-4
many	ADJ	1	vol-4
many	ADJ	1	vol-4
special	ADJ	10	vol-4
first	ADJ	16	vol-5
careful	ADJ	5	vol-5
first	ADJ	16	vol-5
real	ADJ	13	vol-5
sound	ADJ	24	vol-5
donnnn	ADJ	0	vol-5
different	ADJ	5	vol-5
nice	ADJ	6	vol-5
damn	ADJ	5	vol-5
weird	ADJ	3	vol-5
sorry	ADJ	4	vol-5
simple	ADJ	9	vol-5
german	ADJ	3	vol-5
able	ADJ	4	vol-5
much	ADJ	7	vol-5
partial	ADJ	5	vol-5
well	ADJ	22	vol-5
black	ADJ	22	vol-5
white	ADJ	25	vol-5
good	ADJ	27	vol-6
hmmmm	ADJ	0	vol-6
hard	ADJ	22	vol-6
relaxing	ADJ	9	vol-6
careful	ADJ	5	vol-6
striped	ADJ	15	vol-6
good	ADJ	27	vol-6
striped	ADJ	15	vol-6
hungry	ADJ	2	vol-6
disgusting	ADJ	3	vol-6
able	ADJ	4	vol-6
striped	ADJ	15	vol-6
right	ADJ	36	vol-6
cute	ADJ	2	vol-6
weirdo	ADJ	2	vol-6
weird	ADJ	3	vol-6
weird	ADJ	3	vol-6
weird	ADJ	3	vol-6
special	ADJ	10	vol-6
special	ADJ	10	vol-6
new	ADJ	12	vol-6
exact	ADJ	4	vol-6
current	ADJ	4	vol-6
weekly	ADJ	3	vol-6
same	ADJ	6	vol-6
various	ADJ	4	vol-6
key	ADJ	21	vol-6
brown	ADJ	8	vol-6
many	ADJ	1	vol-6
wonderful	ADJ	1	vol-6
japanese	ADJ	3	vol-6
first	ADJ	16	vol-6
personal	ADJ	6	vol-6
dangerous	ADJ	2	vol-6
mysterious	ADJ	2	vol-6
third	ADJ	8	vol-6
odd	ADJ	6	vol-6
interested	ADJ	5	vol-6
scary	ADJ	1	vol-6
other	ADJ	4	vol-6
useful	ADJ	2	vol-6
handy	ADJ	4	vol-6
accurate	ADJ	2	vol-6
weird	ADJ	3	vol-6
weird	ADJ	3	vol-6
cute	ADJ	2	vol-6
cuuuuute	ADJ	0	vol-6
wrong	ADJ	13	vol-6
right	ADJ	36	vol-6
bad	ADJ	17	vol-6
many	ADJ	1	vol-6
female	ADJ	5	vol-6
old	ADJ	9	vol-6
second	ADJ	15	vol-6
first	ADJ	16	vol-6
more	ADJ	5	vol-6
own	ADJ	2	vol-6
worth	ADJ	5	vol-6
occasional	ADJ	4	vol-6
ok	ADJ	4	vol-6
little	ADJ	10	vol-6
fake	ADJ	8	vol-6
same	ADJ	6	vol-6
armed	ADJ	5	vol-6
kindred	ADJ	3	vol-6
little	ADJ	10	vol-7
perfect	ADJ	5	vol-7
funny	ADJ	5	vol-7
bad	ADJ	17	vol-7
bad	ADJ	17	vol-7
raw	ADJ	14	vol-7
cold	ADJ	16	vol-7
bad	ADJ	17	vol-7
same	ADJ	6	vol-7
tough	ADJ	12	vol-7
first	ADJ	16	vol-7
short	ADJ	23	vol-7
broken	ADJ	72	vol-7
clear	ADJ	45	vol-7
tidal	ADJ	1	vol-7
terrible	ADJ	4	vol-7
same	ADJ	6	vol-7
powerful	ADJ	6	vol-7
circular	ADJ	3	vol-7
old	ADJ	9	vol-7
old	ADJ	9	vol-7
same	ADJ	6	vol-7
okay	ADJ	4	vol-7
many	ADJ	1	vol-7
able	ADJ	4	vol-7
silly	ADJ	5	vol-7
fun	ADJ	4	vol-7
special	ADJ	10	vol-7
hard	ADJ	22	vol-7
more	ADJ	5	vol-7
true	ADJ	15	vol-7
right	ADJ	36	vol-7
spanish	ADJ	3	vol-7
funky	ADJ	4	vol-7
least	ADJ	3	vol-7
little	ADJ	10	vol-7
cheap	ADJ	4	vol-7
elementary	ADJ	3	vol-7
same	ADJ	6	vol-7
mad	ADJ	4	vol-7
mad	ADJ	4	vol-7
strained	ADJ	13	vol-7
double	ADJ	21	vol-7
tired	ADJ	6	vol-7
fake	ADJ	8	vol-7
braided	ADJ	4	vol-7
technical	ADJ	7	vol-7
okay	ADJ	4	vol-7
okay	ADJ	4	vol-7
braided	ADJ	4	vol-7
great	ADJ	7	vol-7
right	ADJ	36	vol-7
nervous	ADJ	5	vol-7
little	ADJ	10	vol-7
old	ADJ	9	vol-7
okay	ADJ	4	vol-7
wonderful	ADJ	1	vol-7
upper	ADJ	6	vol-7
right	ADJ	36	vol-7
able	ADJ	4	vol-7
top	ADJ	22	vol-7
certain	ADJ	7	vol-7
amazing	ADJ	4	vol-7
true	ADJ	15	vol-7
mammoth	ADJ	2	vol-7
fun	ADJ	4	vol-7
artistic	ADJ	3	vol-7
valuable	ADJ	3	vol-7
little	ADJ	10	vol-7
little	ADJ	10	vol-7
dumb	ADJ	4	vol-7
sorry	ADJ	4	vol-7
young	ADJ	14	vol-7
similar	ADJ	5	vol-7
same	ADJ	6	vol-8
long	ADJ	12	vol-8
earthling	ADJ	1	vol-8
half	ADJ	6	vol-8
alien	ADJ	7	vol-8
many	ADJ	1	vol-8
impossible	ADJ	4	vol-8
entire	ADJ	5	vol-8
wooden	ADJ	2	vol-8
high	ADJ	18	vol-8
low	ADJ	16	vol-8
enough	ADJ	3	vol-8
high	ADJ	18	vol-8
first	ADJ	16	vol-8
great	ADJ	7	vol-8
astonishing	ADJ	3	vol-8
low	ADJ	16	vol-8
bad	ADJ	17	vol-8
rainy	ADJ	1	vol-8
sunny	ADJ	1	vol-8
snowy	ADJ	3	vol-8
waterproof	ADJ	4	vol-8
good	ADJ	27	vol-8
like	ADJ	11	vol-8
warm	ADJ	13	vol-8
right	ADJ	36	vol-8
veteran	ADJ	4	vol-8
recent	ADJ	3	vol-8
famous	ADJ	1	vol-8
entire	ADJ	5	vol-8
high	ADJ	18	vol-8
entire	ADJ	5	vol-8
153rd	ADJ	0	vol-8
3rd	ADJ	1	vol-8
fat	ADJ	9	vol-8
low	ADJ	16	vol-8
left	ADJ	24	vol-8
amazing	ADJ	4	vol-8
somethign	ADJ	0	vol-8
cool	ADJ	11	vol-8
courageous	ADJ	1	vol-8
courageous	ADJ	1	vol-8
non	ADJ	1	vol-8
-	ADJ	0	vol-8
existent	ADJ	3	vol-8
first	ADJ	16	vol-8
other	ADJ	4	vol-8
second	ADJ	15	vol-8
other	ADJ	4	vol-8
amazing	ADJ	4	vol-8
right	ADJ	36	vol-8
ready	ADJ	8	vol-8
right	ADJ	36	vol-8
natural	ADJ	13	vol-8
artificial	ADJ	3	vol-8
stupid	ADJ	4	vol-8
serious	ADJ	6	vol-8
easy	ADJ	15	vol-8
strong	ADJ	10	vol-8
worth	ADJ	5	vol-8
giant	ADJ	8	vol-8
curious	ADJ	3	vol-8
ridiculous	ADJ	3	vol-8
many	ADJ	1	vol-8
same	ADJ	6	vol-8
short	ADJ	23	vol-8
cheap	ADJ	4	vol-8
much	ADJ	7	vol-8
bad	ADJ	17	vol-8
long	ADJ	12	vol-8
last	ADJ	21	vol-8
much	ADJ	7	vol-8
great	ADJ	7	vol-8
other	ADJ	4	vol-8
astronomical	ADJ	2	vol-8
careful	ADJ	5	vol-8
notorious	ADJ	1	vol-8
ridiculous	ADJ	3	vol-8
okay	ADJ	4	vol-9
third	ADJ	8	vol-9
small	ADJ	13	vol-9
surprised	ADJ	4	vol-9
famous	ADJ	1	vol-9
elementary	ADJ	3	vol-9
embarrassed	ADJ	4	vol-9
naughty	ADJ	2	vol-9
filthy	ADJ	3	vol-9
refined	ADJ	11	vol-9
true	ADJ	15	vol-9
japanese	ADJ	3	vol-9
good	ADJ	27	vol-9
bald	ADJ	4	vol-9
wrong	ADJ	13	vol-9
bald	ADJ	4	vol-9
awfull	ADJ	0	vol-9
terrible	ADJ	4	vol-9
terrible	ADJ	4	vol-9
flustered	ADJ	3	vol-9
okay	ADJ	4	vol-9
next	ADJ	4	vol-9
many	ADJ	1	vol-9
flintlock	ADJ	2	vol-9
flintlock	ADJ	2	vol-9
young	ADJ	14	vol-9
sorry	ADJ	4	vol-9
inside	ADJ	10	vol-9
kindred	ADJ	3	vol-9
dry	ADJ	19	vol-9
full	ADJ	13	vol-9
pleased	ADJ	5	vol-9
right	ADJ	36	vol-9
much	ADJ	7	vol-9
whole	ADJ	8	vol-9
heavy	ADJ	30	vol-9
long	ADJ	12	vol-9
full	ADJ	13	vol-9
light	ADJ	47	vol-9
medium	ADJ	13	vol-9
light	ADJ	47	vol-9
complete	ADJ	10	vol-9
great	ADJ	7	vol-9
golden	ADJ	6	vol-9
angry	ADJ	3	vol-9
popular	ADJ	4	vol-9
golden	ADJ	6	vol-9
same	ADJ	6	vol-9
japanese	ADJ	3	vol-9
more	ADJ	5	vol-9
angry	ADJ	3	vol-9
right	ADJ	36	vol-9
old	ADJ	9	vol-9
true	ADJ	15	vol-9
right	ADJ	36	vol-9
left	ADJ	24	vol-9
wrong	ADJ	13	vol-9
pivoting	ADJ	1	vol-9
right	ADJ	36	vol-9
left	ADJ	24	vol-9
right	ADJ	36	vol-9
old	ADJ	9	vol-9
more	ADJ	5	vol-9
bad	ADJ	17	vol-9
smelly	ADJ	1	vol-9
next	ADJ	4	vol-9
